Title,Authors,Year,Journal,Keywords,Abstract,DOI,Publication Type
In the search for the perfect prompt in medical AI queries,"Berghea, F",2025,FRONTIERS IN ARTIFICIAL INTELLIGENCE,artificial intelligence; prompt engineering; medical AI; generated,"The evaluation of medical Artificial Intelligence (AI) systems presents significant challenges, with performance often varying drastically across studies. This narrative review identifies prompt quality-the way questions are formulated for the AI-as a critical yet under-recognized variable influencing these outcomes. The analysis explores scientific literature published between January 2018 and August 2025 to investigate the impact of prompt engineering on the perceived accuracy and reliability of conversational AI in medicine. Results reveal a ""performance paradox,"" where AI sometimes surpasses human experts in controlled settings yet underperforms in broader meta-analyses. This inconsistency is strongly linked to the type of prompt used. Critical concerns are highlighted, such as ""prompting bias,"" which may invalidate study conclusions, and AI ""hallucinations"" that generate dangerously incorrect information. Furthermore, a significant gap exists between the optimal prompts formulated by experts and the natural queries of the general public, raising issues of safety and health equity. In the end we were interested in finding out what the optimal balance existed between the complexity of a prompt and the value of the generated response, and, in this context, whether we could attempt to define a path toward identifying the best possible prompt.",10.3389/frai.2025.1689178,J
"A Systematic Review of Contrastive Learning in Medical AI: Foundations,","Obaido, G",2026,BIOENGINEERING-BASEL,contrastive learning; self-supervised learning; medical AI; artificial,"Medical artificial intelligence (AI) systems depend heavily on high-quality data representations to support accurate prediction, diagnosis, and clinical decision-making. However, the availability of large, well-annotated medical datasets is often constrained by cost, privacy concerns, and the need for expert labeling, motivating growing interest in self-supervised representation learning. Among these approaches, contrastive learning has emerged as one of the most influential paradigms, driving major advances in representation learning across computer vision and natural language processing. This paper presents a comprehensive review of contrastive learning in medical AI, highlighting its theoretical foundations, methodological developments, and practical applications in medical imaging, electronic health records, physiological signal analysis, and genomics. Furthermore, we identify recurring challenges, including pair construction, sensitivity to data augmentations, and inconsistencies in evaluation protocols, while discussing emerging trends such as multimodal alignment, federated learning, and privacy-preserving frameworks. Through a synthesis of current developments and open research directions, this review provides insights to advance data-efficient, reliable, and generalizable medical AI systems.",10.3390/bioengineering13020176,J
Scaling medical AI across clinical contexts,"Li, MM",2026,NATURE MEDICINE,,"Medical artificial intelligence (AI) tools, including clinical language models, vision-language models and multimodal health record models, are used to summarize clinical notes, answer questions and support decisions. Their adaptation to new populations, specialties or care settings often relies on fine-tuning, prompting or retrieval from external knowledge bases. These strategies can scale poorly and risk contextual errors-outputs that appear plausible but miss critical patient or situational information. We envision context switching as an emergent solution. Context switching adjusts model reasoning at inference, without retraining. Generative models can tailor outputs to patient biology, care setting or disease. Multimodal models can switch between notes, laboratory results, imaging and genomics, even when some data are missing or delayed. Agent models can coordinate tools and roles based on task and user context. In each case, context switching enables medical AI to adapt across specialties, populations and geographies. This approach requires advances in data design, model architectures and evaluation frameworks, and establishes a foundation for medical AI that scales to an infinite number of contexts, while remaining reliable and suited to real-world care.",10.1038/s41591-025-04184-7,J
"Integrating LLMs and Knowledge Graphs for Medical AI: Advances,","Murali, L",,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,Medical services; Medical diagnostic imaging; Cognition; Accuracy;,"This review synthesizes how integrating large language models (LLMs) with knowledge graphs (KGs) advances medical AI across methods, applications, and evaluation. While LLMs excel at natural language understanding and contextual reasoning, KGs provide structured factual knowledge, ensuring reliability in critical domains like healthcare AI. This review explores recent advances, emphasizing how LLM-KG synergy enhances knowledge extraction, clinical decision support, and explainability in medical applications. We analyze integration methodologies across three key frameworks: (a) KG-enhanced LLMs, where KGs refine reasoning during pre-training and inference; (b) LLM-augmented KGs, where LLMs improve KG construction, reasoning, and query resolution; and (c) Synergistic LLM-KG systems, which enable bidirectional knowledge exchange for more robust AI-driven decision-making. While these models offer substantial improvements in medical diagnostics, personalized treatment, and automated knowledge discovery, key challenges remain. Issues such as data heterogeneity, reasoning transparency, computational scalability, and ethical considerations surrounding patient data must be addressed to enable real-world clinical adoption. This review outlines future directions, including cross-domain knowledge integration, neurosymbolic AI frameworks, causal reasoning for explainable predictions, and multi-agent ensemble models for adaptive decision-making. We emphasize that scalability, real-time KG updates, and privacy-preserving mechanisms are vital for responsible, high-impact AI deployment in medicine.",,J
Comparative study of international medical AI regulatory policies:,"Wei, QW",,AI & SOCIETY,Medical artificial intelligence; Regulation; Risk stratification; Data,"Artificial intelligence (AI) is accelerating innovation in healthcare while raising complex questions about safety, accountability, and data governance. This study develops a three-dimensional framework-risk stratification, data governance, and regulatory implementation-to compare medical AI oversight in the European Union, the USA, China, Japan, and the UK. Drawing on legal instruments, technical guidelines, and real-world deployment evidence, the analysis identifies five distinct governance models and highlights three converging trends: expansion of risk-differentiated regulation, strengthened transparency and privacy protections, and growing adoption of life cycle mechanisms such as regulatory sandboxes and real-world evidence generation. The findings indicate a global shift toward hybrid and increasingly interoperable regulatory paradigms that aim to ensure the safe and trustworthy deployment of medical AI.",,J
Mapping the Landscape of Medical AI Research in Korea Using Topic,"Yun, H",2026,HEALTHCARE,artificial intelligence; medical AI; topic modeling; keyword network,"Background/Objectives: This study analyzed ten years of domestic research on medical artificial intelligence (AI) from 2015 to 2024 using topic modeling and keyword network analysis. Chronological comparison showed that the research emphasis evolved through three stages-Introduction (2015-2018), Expansion (2019-2022), and Post-ChatGPT (2023-2024)-reflecting the growing incorporation of AI into clinical and service domains. Methods: We collected a curated set of 686 papers from the Korea Citation Index (KCI). After preprocessing-stopword removal, synonym unification, and lemmatization-7489 unique terms were extracted for the analysis. Results: Topic modeling identified three dominant themes: Diagnostic Imaging and Algorithm Validation, Healthcare Service and System Integration, and Patient-Centered Prediction and Disease Modeling. Keyword network analysis further revealed a structural shift from algorithm-oriented studies to system-level and patient-focused applications. Conclusions: These findings indicate that Korean medical AI research is maturing toward a more interpretable, integrated, and human-centered paradigm, underscoring the need for explainable AI (XAI), multidisciplinary collaboration, and governance frameworks for safe and ethical deployment.",10.3390/healthcare14040549,J
Deploying medical AI in low-resource settings: a scoping review of,"Al-Ganad, A",2026,FRONTIERS IN DIGITAL HEALTH,ethical; governance; infrastructure; LMICs; low-resource setting;,"Background Artificial intelligence (AI) is increasingly used to enhance diagnostic accuracy, clinical decision-making, and health system efficiency. However, its sustainable and equitable deployment in low-resource settings (LRS) remains limited. In many low- and middle-income countries (LMICs), digital health efforts are still held back by weak infrastructure, fragmented health data, limited local skills, and gaps in governance. Bringing together lessons from existing evidence and practical, real-world solutions is essential for supporting digital health approaches that are fair, workable, and sustainable over time.Methods Following the PRISMA-ScR framework, a scoping review was conducted of peer-reviewed literature published between January 2015 and January 2026. Searches were performed across PubMed, Scopus, Web of Science, IEEE Xplore, and Google Scholar. Eligible studies examined medical AI deployment, implementation barriers, or enabling strategies within LMIC healthcare settings. Data were extracted and analyzed thematically across four domains: digital infrastructure and connectivity, data quality and local capacity, ethics and governance, and policy and sustainability, guided by a human-centered implementation perspective and JBI methodological guidance.Results A total of 44 studies met the inclusion criteria. The analysis showed that making AI work in low-resource settings is less about advanced technology and more about having the right systems in place. Common problems included unreliable electricity and internet access, messy or incomplete data, limited familiarity with AI among healthcare workers, and a lack of clear rules to guide its use. Reported enabling strategies focused on investments in resilient digital infrastructure, adoption of interoperable data standards (e.g., HL7/FHIR), continuous capacity-building programs, fairness and bias auditing mechanisms, and integration of AI governance within national digital health and e-health policies supported by sustainable financing models.Conclusions Sustainable and equitable deployment of medical AI in LMICs requires embedding human-centered values-transparency, accountability, privacy, and equity throughout the AI lifecycle. Aligned with the WHO (2021) and UNESCO (2021) AI ethics frameworks, this review underscores that meaningful innovation in digital health depends on augmenting, rather than replacing, human judgment through context-aware and trustworthy AI systems. However, this scoping review is limited by the inclusion of English-language studies and by the heterogeneity of studies, which precluded quantitative synthesis.",10.3389/fdgth.2026.1743634,J
Federated Learning in Healthcare Ethics: A Systematic Review of,"Mir, BA",2026,HEALTHCARE,federated learning; healthcare ethics; privacy preservation; algorithmic,"Background/Objectives: Federated learning (FL) offers a way for healthcare institutions to collaboratively train machine learning models without sharing sensitive patient data. This systematic review aims to comprehensively synthesize the ethical dimensions of FL in healthcare, integrating privacy preservation, algorithmic fairness, governance, and equitable access into a unified analytical framework. The application of FL in healthcare between January 2020 and December 2024 is examined, with a focus on ethical issues such as algorithmic fairness, privacy preservation, governance, and equitable access. Methods: Following PRISMA guidelines, six databases (PubMed, IEEE Xplore, Web of Science, Scopus, ACM Digital Library, and arXiv) were searched. The PROSPERO registration is CRD420251274110. Studies were selected if they described FL implementations in healthcare settings and explicitly discussed ethical considerations. Key data extracted included FL architectures, privacy-preserving mechanisms, such as differential privacy, secure multiparty computation, and encryption, as well as fairness metrics, governance models, and clinical application domains. Results: Out of 3047 records, 38 met the inclusion criteria. The most popular applications were found in medical imaging and electronic health records, especially in radiology and oncology. Through thematic analysis, four key ethical themes emerged: algorithmic fairness, which addresses differences between clients and attributes; privacy protection through formal guarantees and cryptographic techniques; governance models, which emphasize accountability, transparency, and stakeholder engagement; and equitable distribution of computing resources for institutions with limited resources. Considerable variation was observed in how fairness and privacy trade-offs were evaluated, and only a few studies reported real-world clinical deployment. Conclusions: FL has significant potential to promote ethical AI in healthcare, but advancement will require the development of common fairness standards, workable governance plans, and systems to guarantee fair benefit sharing. Future studies should develop standardized fairness metrics, implement multi-stakeholder governance frameworks, and prioritize real-world clinical validation beyond proof-of-concept implementations.",10.3390/healthcare14030306,J
Ethical Responsibility in Medical AI: A Semi-Systematic Thematic Review,"Martinho, D",2026,HEALTHCARE,algorithmic accountability; data protection and privacy; ethical,"Highlights What are the main findings? Transparency and explainability dominate ethical discourse (34.8%), whereas patient autonomy (8.6%) and professional redefinition (1.1%) are neglected. A fragmented accountability landscape emerges, with regulatory frameworks lagging behind technological innovation. What are the implications of the main findings? Healthcare institutions must operationalise multilevel governance models that integrate ex ante (preventive) and ex post (accountability) mechanisms. Policymakers should mandate algorithmic audits and participatory design to bridge gaps in epistemic justice in AI-driven medicine.Highlights What are the main findings? Transparency and explainability dominate ethical discourse (34.8%), whereas patient autonomy (8.6%) and professional redefinition (1.1%) are neglected. A fragmented accountability landscape emerges, with regulatory frameworks lagging behind technological innovation. What are the implications of the main findings? Healthcare institutions must operationalise multilevel governance models that integrate ex ante (preventive) and ex post (accountability) mechanisms. Policymakers should mandate algorithmic audits and participatory design to bridge gaps in epistemic justice in AI-driven medicine.Abstract Background: Artificial intelligence (AI) is transforming medical practice, enhancing diagnostic accuracy, personalisation, and clinical efficiency. However, this transition raises complex ethical challenges related to transparency, accountability, fairness, and human oversight. This study examines how the literature conceptualises and distributes ethical responsibility in AI-assisted healthcare. Methods: This semi-systematic, theory-informed thematic review was conducted in accordance with the PRISMA 2020 guidelines. Publications from 2020 to 2025 were retrieved from PubMed, ScienceDirect, IEEE Xplore databases, and MDPI journals. A semi-quantitative keyword-based scoring model was applied to titles and abstracts to determine their relevance. High-relevance studies (n = 187) were analysed using an eight-category ethical framework: transparency and explainability, regulatory challenges, accountability, justice and equity, patient autonomy, beneficence-non-maleficence, data privacy, and the impact on the medical profession. Results: The analysis revealed a fragmented ethical landscape in which technological innovation frequently outperforms regulatory harmonisation and shared accountability structures. Transparency and explainability were the dominant concerns (34.8%). Significant gaps in organisational responsibility, equitable data practices, patient autonomy, and professional redefinition were reported. A multilevel ethical responsibility model was developed, integrating micro (clinical), meso (institutional), and macro (regulatory) dimensions, articulated through both ex ante and ex post perspectives. Conclusions: AI requires governance frameworks that integrate ethical principles, regulatory alignment, and epistemic justice in medicine. This review proposes a multidimensional model that bridges normative ethics and operational governance. Future research should explore empirical, longitudinal, and interdisciplinary approaches to assess the real impact of AI on clinical practice, equity, and trust.",10.3390/healthcare14030287,J
Ethical issues in medical AI education: challenges and prospects,"Zheng, CS",2026,INTERNATIONAL JOURNAL OF ETHICS EDUCATION,Artificial Intelligence; AI; Medical Education; Ethics; Challenges and,"The rapid integration of artificial intelligence (AI) into clinical practice presents a paradigm shift in healthcare, necessitating a parallel evolution in medical education. While current curricula increasingly address the technical functionalities of AI, a critical gap remains in the systematic education of medical students and professionals on the profound ethical implications of these technologies. Given this, we screened out research articles published in recent years on the ethical issues of AI in medical education, resulting in a total of 26 papers. We conducted a scoping review of these 26 articles along with other relevant literature. This review argues that the failure to embed robust, critical, and nuanced AI ethics education within medical training is not merely an academic oversight but an impending catalyst for ethical crises in clinical care. It delineates the core ethical challenges-including algorithmic bias, opacity (""black box"" problem), accountability, data privacy, and the erosion of professional autonomy-and critiques the prevailing, often superficial, approaches to teaching them. The review further proposes a transformative educational framework that moves beyond simplistic ethics modules towards a pervasive, interdisciplinary, and case-based integration of AI ethics across the entire medical curriculum. This approach aims to cultivate a generation of ""digitally literate physicians"" who are not passive consumers of AI outputs but critical, empowered, and ethically discerning partners in the age of intelligent medicine.",10.1007/s40889-026-00241-y,J
"Data Foundations for Medical AI: Provenance, Reliability and Limitations","Litvinov, A",2026,INFORMATICS-BASEL,survey; datasets; benchmarks; large language models; data provenance;,"Russian-language resources for medical natural language processing (NLP) are expanding rapidly; however, their fragmentation, uneven curation, and limited clinical reliability hinder the development of safe machine learning systems for prognosis, prevention, and precision medicine. We provide the first systematic survey of Russian medical NLP datasets and analyze their suitability for clinically meaningful tasks as defined by the MedHELM taxonomy. We additionally perform expert clinical validation of three representative public corpora-RuMedPrimeData (real outpatient notes), MedSyn (synthetic clinical notes), and RuMedNLI (translated natural language inference)-assessing clinical plausibility, diagnosis accuracy, and logical consistency. Experts identified substantial reliability issues: across randomly sampled subsets of each corpus, only approximately 20% of RuMedPrimeData records, fewer than 15% of MedSyn records, and approximately 55% of RuMedNLI pairs met essential quality criteria, which can hinder downstream ML systems built on these data. To support robust applications-ranging from medical chatbots and triage assistants to predictive and preventive models-we outline practical requirements for high-quality datasets: coordinated, expert-validated, machine-readable corpora aligned with clinical guidelines and insurance logic, standardized de-identification, and transparent provenance. Strengthening these data foundations will enable the development of reliable, reproducible, and clinically relevant AI systems suitable for real-world healthcare applications.",10.3390/informatics13030045,J
Physicians' required competencies in AI-assisted clinical settings: a,"Schuitmaker, L",2025,BRITISH MEDICAL BULLETIN,artificial intelligence; medical AI; AI ethics; digital health; AI,"Background Utilizing Artificial Intelligence (AI) in clinical settings may offer significant benefits. A roadblock to the responsible implementation of medical AI is the remaining uncertainty regarding requirements for AI users at the bedside. An overview of the academic literature on human requirements for the adequate use of AI in clinical settings is therefore of significant value.Sources of data A systematic review of the potential implications of medical AI for the required competencies of physicians as mentioned in the academic literature.Areas of agreement Our findings emphasize the importance of physicians' critical human skills, alongside the growing demand for technical and digital competencies.Areas of controversy Concrete guidance on physicians' required competencies in AI-assisted clinical settings remains ambiguous and requires further clarification and specification. Dissensus remains over whether physicians are adequately equipped to use and monitor AI in clinical settings in terms of competencies, skills and expertise, issues of ownership regarding normative guidance, and training of physicians' skills.Growing points Our review offers a basis for subsequent further research and normative analysis on the responsible use of AI in clinical settings.Areas timely for developing research Future research should clearly outline (i) how physicians must be(come) competent in working with AI in clinical settings, (ii) who or what should take ownership of embedding these competencies in a normative and regulatory framework, (iii) investigate conditions for achieving a reasonable amount of trust in AI, and (iv) assess the connection between trust and efficiency in patient care.",10.1093/bmb/ldae025,J
Transparency of medical artificial intelligence systems,"Kim, C",2026,NATURE REVIEWS BIOENGINEERING,,"Medical artificial intelligence (AI) systems hold promise for transforming healthcare by supporting clinical decision-making in diagnostics and treatment. The effective deployment of medical AI requires trust among key stakeholders - including patients, providers, developers and regulators - which can be built by ensuring transparency in medical AI, including in its design, operation and outcomes. However, many AI systems function as 'black boxes', making it challenging for users to interpret and verify their inner workings. In this Review, we examine the current state of transparency in medical AI, from training data to model development and model deployment, identifying key challenges, risks and opportunities. We then explore a range of techniques that promote explainability, highlighting the importance of continual monitoring and system updates to ensure that AI systems remain reliable over time. Finally, we address the need to overcome barriers that inhibit the integration of transparency tools into clinical settings and review regulatory frameworks that prioritize transparency in emerging AI systems.",10.1038/s44222-025-00363-w,J
Transforming sepsis management: AI-driven innovations in early detection,"Papareddy, P",2025,CRITICAL CARE,Artificial intelligence; Sepsis management; Precision medicine; Early,"Sepsis remains a leading cause of mortality worldwide, driven by its clinical complexity and delayed recognition. Artificial intelligence (AI) offers promising solutions to improve sepsis care through earlier detection, risk stratification, and personalized treatment strategies. Key applications include AI-driven early warning systems, subphenotyping based on clinical and biological data, and decision support tools that adapt to real-time patient information. The integration of diverse data types, such as structured clinical data, unstructured notes, waveform signals, and molecular biomarkers, enhances the precision and timeliness of interventions. However, challenges such as algorithmic bias, limited external validation, data quality issues, and ethical considerations continue to hinder clinical implementation. Future directions focus on real-time model adaptation, multi-omics integration, and the development of generalist medical AI capable of personalized recommendations. Successfully addressing these barriers is essential for AI to deliver on its potential to transform sepsis management and support the transition toward precision-driven critical care.",10.1186/s13054-025-05588-0,J
